Ingredient, Quantity, Unit
rice papers to wrap, 20, sheets
oil for frying, to cover the rolls until midline, -
pork mince, 500, g
carrots, - [ ] 2-3, medium size pieces
brown onions, 2, small pieces
beansprout, 1, bag
dry wood ear mushroom to be soaked in water, a handful, -
dry mushroom or Shitake mushroom, a handful, -
glass vermicelli (alternatively rice vermicelli), 50, g
egg, 1, piece
fish sauce, 5, tbsps
granulated sugar, 1, tbsp
lemon (lime) juice, 1, tbsp
warm water, 3, tbsps
garlic, 2, cloves
chilly, 1, piece